misc
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,49798949,null,"Atomic resolution observation of zeolitic framework and captured cations using low-dose OBF STEM technique",null,"[Kousuke Ooe,Takehito Seki,Koudai Tabata,Kaname Yoshida,Atsushi Nakahira,Yuji Kohno,Yuichi Ikuhara,Naoya Shibata]",null,null,null,null,"EDP Sciences",2024-10-17,null,"BIO Web of Conferences",129,null,07003,07003,null,false,false,null,null,null,10.1051/bioconf/202412907003,null,2117-4458,https://www.bio-conferences.org/10.1051/bioconf/202412907003/pdf,null,false,disclosed
insert,merge,null,44336281,原子分解能磁場フリー電子顕微鏡による超高分解能磁場観察,原子分解能磁場フリー電子顕微鏡による超高分解能磁場観察,"[関 岳人\, 河野 祐二\, 幾原 雄一\, 柴田 直哉]","[関 岳人\, 河野 祐二\, 幾原 雄一\, 柴田 直哉]","[lead,corresponding]",null,null,日本表面真空学会,"Surface Science Society Japan",2023-12-01,表面と真空,表面と真空,66,12,683,688,jpn,true,true,null,null,false,10.1380/vss.66.683,2433-5835,2433-5843,https://doi.org/10.1380/vss.66.683,null,false,disclosed
insert,merge,null,43169863,走査透過電子顕微鏡による原子レベルの磁場観察,走査透過電子顕微鏡による原子レベルの磁場観察,"[関 岳人\, 河野 祐二\, 幾原 雄一\, 柴田 直哉]","[関 岳人\, 河野 祐二\, 幾原 雄一\, 柴田 直哉]",null,null,null,null,null,2023-07-15,固体物理,固体物理,58,7,377,383,jpn,true,null,null,null,true,null,null,null,https://www.agne.co.jp/kotaibutsuri/kota1058.htm#no689,null,false,disclosed
insert,merge,null,42909060,"Low-dose atomic-resolution observation of beam-sensitive materials via OBF STEM imaging technique","Low-dose atomic-resolution observation of beam-sensitive materials via OBF STEM imaging technique","[Kousuke Ooe\, Takehito Seki\, Yuji Kohno\, Akiho Nakamura\, Yuichi Ikuhara\, Naoya Shibata]","[Kousuke Ooe\, Takehito Seki\, Yuji Kohno\, Akiho Nakamura\, Yuichi Ikuhara\, Naoya Shibata]",null,null,null,null,null,2023-07-01,"JEOL News","JEOL News",58,1,21,28,eng,false,null,null,null,null,null,null,null,https://www.jeol.co.jp/solutions/download/jeolnews.html,null,false,disclosed
insert,merge,null,42909043,"OBF STEMによる電子線敏感材料の低ドーズ原子分解能観察","OBF STEMによる電子線敏感材料の低ドーズ原子分解能観察","[大江 耕介\, 関 岳人\, 河野 祐二\, 中村 明穂\, 幾原 雄一\, 柴田 直哉]","[大江 耕介\, 関 岳人\, 河野 祐二\, 中村 明穂\, 幾原 雄一\, 柴田 直哉]",null,null,null,null,null,2023-07-01,日本電子News,日本電子News,55,1,2,7,jpn,false,true,null,null,null,null,null,null,https://www.jeol.co.jp/solutions/download/jeolnews.html,null,false,disclosed
insert,merge,null,42792309,走査透過電子顕微鏡による原子レベルの磁場観察,"Atomic-scale Magnetic Field Imaging by Scanning Transmission Electron Microscopy","[関 岳人,河野 祐二,幾原 雄一,柴田 直哉]","[Takehito Seki,Yuji Kohno,Yuichi Ikuhara,Naoya Shibata]",[lead],null,null,null,null,2023-07,固体物理,"Solid State Physics",58,null,21,27,jpn,true,true,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,41226868,原子分解能磁場フリー電子顕微鏡の開発と原子磁場観察,"Development of an Atomic-Resolution Magnetic-Field-Free Electron Microscope and Observation of Atomic Magnetic Fields","[河野 祐二,関 岳人,森下 茂幸,柴田 直哉]","[Yuji Kohno,Takehito Seki,Shigeyuki Morishita,Naoya Shibata]",null,null,null,null,null,2022-12,顕微鏡,Kenbikyo,57,3,131,138,jpn,true,true,introduction_scientific_journal,null,null,10.11410/kenbikyo.57.3_131,null,null,null,null,false,disclosed
insert,merge,null,40324138,機能コアにおける先端電子顕微鏡解析,"Crystal Defect Core Studied by Advanced Electron Microscopy","[馮 斌,魏 家科,石川 亮,関 岳人,柴田 直哉,幾原 雄一]","[Bin Feng,Jiake Wei,Ryo Ishikawa,Takehito Seki,Naoya Shibata,Yuichi Ikuhara]",null,null,null,日本金属学会,"Japan Institute of Metals",2022-10-01,まてりあ,"Materia Japan",61,10,640,644,null,true,true,null,false,null,10.2320/materia.61.640,1340-2625,1884-5843,https://www.jstage.jst.go.jp/article/materia/61/10/61_640/_pdf,null,false,disclosed
insert,merge,null,39957954,"OBF STEM法を利用した低ドーズ原子分解能観察","Low-dose atomic-resolution imaging using OBF STEM","[大江 耕介,関 岳人,河野 祐二,中村 明穂,幾原 雄一,柴田 直哉]","[Kousuke Ooe,Takehito Seki,Yuji Kohno,Akiho Nakamura,Yuichi Ikuhara,Naoya Shibata]",[corresponding],null,null,null,null,2022-08,顕微鏡,Kenbikyo,47,2,49,53,jpn,true,true,introduction_scientific_journal,null,null,10.11410/kenbikyo.57.2_49,null,null,null,null,false,disclosed
insert,merge,null,36436748,微分位相コントラストSTEMを用いたGaN/AlGaN/InGaNマルチヘテロ接合の局所電場観察,"The Observation of Local Electric Fields in GaN/AlGaN/InGaN Multi-heterostructures by Differential Phase Contrast STEM","[遠山慧子,関岳人,蟹谷裕也,冨谷茂隆,幾原雄一,柴田直哉]","[Satoko Toyama,Takehito Seki,Yuya Kanitani,Shigetaka Tomiya,Yuichi Ikuhara,Naoya Shibata]",null,null,null,null,"Institute of Electrical Engineers of Japan (IEE Japan)",2022-03-01,電気学会論文誌C（電子・情報・システム部門誌）,"IEEJ Transactions on Electronics, Information and Systems",142,3,367,372,jpn,true,null,null,null,null,10.1541/ieejeiss.142.367,0385-4221,1348-8155,https://www.jstage.jst.go.jp/article/ieejeiss/142/3/142_367/_pdf,null,false,disclosed
