presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,53919747,"Mapping Electromagnetic Fields and Atomic Thermal Vibrations using tDPC-STEM and Atomic-Scale TDS Analysis","Mapping Electromagnetic Fields and Atomic Thermal Vibrations using tDPC-STEM and Atomic-Scale TDS Analysis","[Takehito Seki,Satoko Toyama,Naoya Shibata]","[Takehito Seki,Satoko Toyama,Naoya Shibata]","Microscopy & Microanalysis","Microscopy & Microanalysis",2026-08-05,null,null,true,eng,null,null,null,"Milwaukee, US","Milwaukee, US",USA,null,null,true,false,null,null,false,disclosed
insert,merge,null,53919777,"走査透過電子顕微鏡による高分解能磁気構造観察: 磁壁幅の精密測定と局所磁気定数評価",null,[関岳人],null,"日本磁気学会第261回研究会/ 第3回バルク軟磁性材料専門研究会",null,2026-07-21,null,null,true,jpn,null,null,null,"お茶の水, 東京",null,null,null,null,false,false,null,null,false,disclosed
insert,merge,null,53890234,"Entropy-Stabilized Dynamic Grain-Boundary Structure Revealed by Magnetic-field-Free STEM","Entropy-Stabilized Dynamic Grain-Boundary Structure Revealed by Magnetic-field-Free STEM","[Takehito Seki]","[Takehito Seki]","International Conference on Recrystallization and Grain Growth","International Conference on Recrystallization and Grain Growth",2026-05-29,null,null,true,eng,invited_oral_presentation,null,null,Hamilton,Hamilton,CAN,null,null,true,null,https://rexgg2026.org/,null,false,disclosed
insert,merge,null,53890256,"Extending Scanning Transmission Electron Microscopy with Modern Detectors","Extending Scanning Transmission Electron Microscopy with Modern Detectors","[関 岳人]","[Takehito Seki]",日本顕微鏡学会学術講演会,"Annual Meeting of the Japanese Society of Microscopy",2026-05-25,null,null,true,jpn,invited_oral_presentation,null,null,"仙台国際センター, 宮城県",null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,53809041,"Development of automatic aberration correction using 4D-STEM","Development of automatic aberration correction using 4D-STEM","[Konosuke Oe\, Koidai Tabata\, Takehito Seki\, Yuji Kohno\, Naoya Shibata]","[Konosuke Oe\, Koidai Tabata\, Takehito Seki\, Yuji Kohno\, Naoya Shibata]","4th Advanced Electron Microscopy Workshop for Young Scientists","4th Advanced Electron Microscopy Workshop for Young Scientists",2026-03-16,null,null,false,eng,oral_presentation,null,null,"Tokyo, Japan","Tokyo, Japan",null,null,null,true,null,null,null,false,closed
insert,merge,null,53809038,"Observation of Local Atomic Vibrational Correlations Using 4D-STEM","Observation of Local Atomic Vibrational Correlations Using 4D-STEM","[Koudai Tabata\, Takehito Seki\, Naoya Shibata]","[Koudai Tabata\, Takehito Seki\, Naoya Shibata]","4th Advanced Electron Microscopy Workshop for Young Scientists","4th Advanced Electron Microscopy Workshop for Young Scientists",2026-03-16,null,null,false,eng,oral_presentation,null,null,"Tokyo, Japan","Tokyo, Japan",null,null,null,true,null,null,null,false,closed
insert,merge,null,53809037,原子スケール二重スリット干渉法による局所原子振動相関の検出,原子スケール二重スリット干渉法による局所原子振動相関の検出,"[田畑 浩大\, 関 岳人\, 柴田 直哉]","[田畑 浩大\, 関 岳人\, 柴田 直哉]",超高分解能分科会2025年度研究討論会,超高分解能分科会2025年度研究討論会,2026-03-13,null,null,true,jpn,invited_oral_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,false,null,https://sites.google.com/g.ecc.u-tokyo.ac.jp/uhr2025/,null,false,closed
insert,merge,null,53809035,"Imaging of charges at SiC-MOS Interfaces via tilt-scan-averaged DPC-STEM","Imaging of charges at SiC-MOS Interfaces via tilt-scan-averaged DPC-STEM","[Yu Nishiuchi\, Satoko Toyama\, Takehito Seki\, Naoya Shibata]","[Yu Nishiuchi\, Satoko Toyama\, Takehito Seki\, Naoya Shibata]","The 5th Workshop on Functional Materials Science","The 5th Workshop on Functional Materials Science",2026-03-09,null,null,false,eng,poster_presentation,null,null,"Tokyo, Japan","Tokyo, Japan",null,null,null,true,null,https://sites.google.com/view/fms2026/home,null,false,closed
insert,merge,null,53809034,"Real-space observation of superconducting vortices in YBa2Cu3O7 via cryo-STEM","Real-space observation of superconducting vortices in YBa2Cu3O7 via cryo-STEM","[Naoyuki Ichiryu\, Satoko Toyama\, Takehito Seki\, Naoya Shibata]","[Naoyuki Ichiryu\, Satoko Toyama\, Takehito Seki\, Naoya Shibata]","The 5th Workshop on Functional Materials Science","The 5th Workshop on Functional Materials Science",2026-03-09,null,null,false,eng,poster_presentation,null,null,"Tokyo, Japan","Tokyo, Japan",null,null,null,true,null,https://sites.google.com/view/fms2026,null,false,closed
insert,merge,null,53809032,"Development of a direct imaging method of dislocation charges in GaN","Development of a direct imaging method of dislocation charges in GaN","[Ayumu Oyaizu\, Satoko Toyama\, Takehito Seki\, Naoya Shibata]","[Ayumu Oyaizu\, Satoko Toyama\, Takehito Seki\, Naoya Shibata]","The 5th Workshop on Functional Materials Science","The 5th Workshop on Functional Materials Science",2026-03-09,null,null,false,eng,poster_presentation,null,null,"Tokyo, Japan","Tokyo, Japan",null,null,null,true,null,https://sites.google.com/view/fms2026,null,false,closed
