published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,similar_merge,input_data,null,Phase Imaging Methods in the Scanning Transmission Electron Microscope,Phase Imaging Methods in the Scanning Transmission Electron Microscope,"Gabriel Sanchez-Santolino, Laura Clark, Satoko Toyama, Takehito Seki, Naoya Shibata","Gabriel Sanchez-Santolino, Laura Clark, Satoko Toyama, Takehito Seki, Naoya Shibata",null,null,null,null,null,2025/06/28,Nano Letters,Nano Letters,25,27,10709,10721,eng,TRUE,null,null,null,TRUE,10.1021/acs.nanolett.4c06697,null,null,https://doi.org/10.1021/acs.nanolett.4c06697,null,FALSE,disclosed
insert,similar_merge,input_data,null,Enhanced transport properties in GaN heterostructures with sputter-epitaxy-grown ScAlN barriers via thermal annealing,Enhanced transport properties in GaN heterostructures with sputter-epitaxy-grown ScAlN barriers via thermal annealing,"Tomoya Okuda, Shunsuke Ota, Kouei Kubota, Yusuke Wakamoto, Shinsuke Hashimoto, Takehito Seki, Satoko Toyama, Naoya Shibata, Takahiko Kawahara, Kozo Makiyama, Ken Nakata, Kazuhisa Ikeda, Takuya Maeda, Atsushi Kobayashi","Tomoya Okuda, Shunsuke Ota, Kouei Kubota, Yusuke Wakamoto, Shinsuke Hashimoto, Takehito Seki, Satoko Toyama, Naoya Shibata, Takahiko Kawahara, Kozo Makiyama, Ken Nakata, Kazuhisa Ikeda, Takuya Maeda, Atsushi Kobayashi",null,null,null,null,null,2025/11/03,Applied Physics Letters,Applied Physics Letters,127,18,182103,null,eng,TRUE,null,null,null,null,10.1063/5.0294172,null,null,https://doi.org/10.1063/5.0294172,null,FALSE,disclosed

insert,merge,null,49561746,null,"Quantitative evaluation of local magnetic property using magnetic domain wall width measurement with tilt-scan averaged DPC STEM",null,"[Yoshiki O. Murakami,Takehito Seki,Koudai Tabata,Yuichi Ikuhara,Naoya Shibata]",null,null,null,null,null,2025-06,null,Ultramicroscopy,null,null,null,null,null,null,null,scientific_journal,null,null,10.1016/j.ultramic.2025.114132,null,null,null,null,false,disclosed
insert,merge,null,49748923,null,"Atomic-scale observation of Σ5{310} and Σ9{411} grain boundaries in silicon steel",null,"[Toshihiro Futazuka,Masaki Arai,Takehito Seki,Ryo Matsubara,Nobusato Morishige,Yuichi Ikuhara,Naoya Shibata]",null,null,null,null,null,2025-04-03,null,"Journal of Materials Science",null,null,null,null,null,null,null,scientific_journal,null,null,10.1007/s10853-025-10770-4,null,null,null,null,false,disclosed
insert,merge,null,48422090,null,"Dose-efficient phase-contrast imaging of thick weak phase objects via OBF STEM using a pixelated detector",null,"[Kousuke Ooe,Takehito Seki,Mitsuru Nogami,Yuichi Ikuhara,Naoya Shibata]",null,null,null,null,null,2025-03-31,null,Microscopy,null,null,null,null,null,null,null,scientific_journal,null,null,10.1093/jmicro/dfae051,null,null,null,null,false,disclosed
insert,merge,null,48554939,null,"Nanoscale electromagnetic field imaging by advanced differential phase-contrast STEM",null,"[Satoko Toyama,Takehito Seki,Yuji Kohno,Yoshiki O. Murakami,Yuichi Ikuhara,Naoya Shibata]",null,null,null,null,null,2024-11-26,null,"Nature Reviews Electrical Engineering",null,null,null,null,null,null,null,scientific_journal,null,null,10.1038/s44287-024-00117-7,null,null,null,null,false,disclosed
insert,merge,null,44214776,"Direct observation of space-charge-induced electric fields at oxide grain boundaries","Direct observation of space-charge-induced electric fields at oxide grain boundaries","[Satoko Toyama, Takehito Seki, Bin Feng, Yuichi Ikuhara, Naoya Shibata]","[Satoko Toyama, Takehito Seki, Bin Feng, Yuichi Ikuhara, Naoya Shibata]",[corresponding],null,null,null,null,2024-10-18,"Nature Communications","Nature Communications",15,1,8704,null,eng,true,null,scientific_journal,null,null,10.1038/s41467-024-53014-w,null,null,http://dx.doi.org/10.1038/s41467-024-53014-w,null,false,disclosed
insert,merge,null,46213782,"Diffraction contrast of ferroelectric domains in DPC STEM images","Diffraction contrast of ferroelectric domains in DPC STEM images","[Masaya Takamoto, Takehito Seki, Yuichi Ikuhara, Naoya Shibata]","[Masaya Takamoto, Takehito Seki, Yuichi Ikuhara, Naoya Shibata]",[corresponding],null,"Abstract

 Differential phase contrast scanning transmission electron microscopy (DPC STEM) is a powerful technique for directly visualizing electromagnetic fields inside materials at high spatial resolution. Electric field observation within ferroelectric materials is potentially possible by DPC STEM, but concomitant diffraction contrast hinders the quantitative electric field evaluation. Diffraction contrast is basically caused by the diffraction-condition variation inside a field of view, but in the case of ferroelectric materials, the diffraction conditions can also change with respect to the polarization orientations. To quantitatively observe electric field distribution inside ferroelectric domains, the formation mechanism of diffraction contrast should be clarified in detail. In this study, we systematically simulated diffraction contrast of ferroelectric domains in DPC STEM images based on the dynamical diffraction theory, and clarify the issues for quantitatively observing electric fields inside ferroelectric domains. Furthermore, we conducted experimental DPC STEM observations for a ferroelectric material to confirm the influence of diffraction contrast predicted by the simulations.",null,"Oxford University Press (OUP)",2024-04-17,Microscopy,Microscopy,73,5,422,429,eng,true,null,scientific_journal,null,null,10.1093/jmicro/dfae019,2050-5698,2050-5701,http://dx.doi.org/10.1093/jmicro/dfae019,null,false,disclosed
insert,merge,null,45618385,"Direct Imaging of Atomic Rattling Motion in a Clathrate Compound","Direct Imaging of Atomic Rattling Motion in a Clathrate Compound","[Koudai Tabata, Takehito Seki, Scott D. Findlay, Ryo Ishikawa, Ryuji Tamura, Yuichi Ikuhara, Naoya Shibata]","[Koudai Tabata, Takehito Seki, Scott D. Findlay, Ryo Ishikawa, Ryuji Tamura, Yuichi Ikuhara, Naoya Shibata]",[corresponding],null,null,null,null,2024-02-17,"Small Science","Small Science",4,4,2300254,null,eng,true,null,scientific_journal,null,true,10.1002/smsc.202300254,null,null,http://doi.org/10.1002/smsc.202300254,null,false,disclosed
insert,merge,null,44368580,"Magnetic field observation in a magnetic tunnel junction by scanning transmission electron microscopy","Magnetic field observation in a magnetic tunnel junction by scanning transmission electron microscopy","[Yuji Kohno, Takehito Seki, Shun Tsuruoka, Shinobu Ohya, Naoya Shibata]","[Yuji Kohno, Takehito Seki, Shun Tsuruoka, Shinobu Ohya, Naoya Shibata]",null,null,null,null,null,2023-12-29,Microscopy,Microscopy,73,4,329,334,eng,true,null,scientific_journal,null,null,10.1093/jmicro/dfad063,null,null,http://dx.doi.org/10.1093/jmicro/dfad063,null,false,disclosed
insert,merge,null,44187607,"Incommensurate grain-boundary atomic structure","Incommensurate grain-boundary atomic structure","[Takehito Seki, Toshihiro Futazuka, Nobusato Morishige, Ryo Matsubara, Yuichi Ikuhara, Naoya Shibata]","[Takehito Seki, Toshihiro Futazuka, Nobusato Morishige, Ryo Matsubara, Yuichi Ikuhara, Naoya Shibata]","[lead,corresponding]",null,null,null,null,2023-12-05,"Nature Communications","Nature Communications",14,1,7806,null,eng,true,null,scientific_journal,null,null,10.1038/s41467-023-43536-0,null,null,http://dx.doi.org/10.1038/s41467-023-43536-0,null,false,disclosed
insert,merge,null,46648642,"In-situ observation of magnetic domain structures in nanocrystalline soft magnetic materials by differential-phase-contrast scanning transmission electron microscopy","In-situ observation of magnetic domain structures in nanocrystalline soft magnetic materials by differential-phase-contrast scanning transmission electron microscopy","[Takehito Seki, Masaya Takamoto, Masayuki Ishihara, Haruhito Ishio, Yuichi Ikuhara, Naoya Shibata]","[Takehito Seki, Masaya Takamoto, Masayuki Ishihara, Haruhito Ishio, Yuichi Ikuhara, Naoya Shibata]","[lead,corresponding]",null,null,null,null,2023-10-01,"Journal of the Ceramic Society of Japan","Journal of the Ceramic Society of Japan",131,10,767,770,eng,true,null,null,null,null,10.2109/jcersj2.23061,null,null,http://dx.doi.org/10.2109/jcersj2.23061,null,false,disclosed
insert,merge,null,43002592,"Direct imaging of local atomic structures in zeolite using optimum bright-field scanning transmission electron microscopy","Direct imaging of local atomic structures in zeolite using optimum bright-field scanning transmission electron microscopy","[Kousuke Ooe, Takehito Seki, Kaname Yoshida, Yuji Kohno, Yuichi Ikuhara, Naoya Shibata]","[Kousuke Ooe, Takehito Seki, Kaname Yoshida, Yuji Kohno, Yuichi Ikuhara, Naoya Shibata]",[corresponding],null,"Zeolites are used in industries as catalysts, ion exchangers, and molecular sieves because of their unique porous atomic structures. However, direct observation of zeolitic local atomic structures via electron microscopy is difficult owing to low electron irradiation resistance. Subsequently, their fundamental structure-property relationships remain unclear. A low-electron-dose imaging technique, optimum bright-field scanning transmission electron microscopy (OBF STEM), has recently been developed. It reconstructs images with a high signal-to-noise ratio and a dose efficiency approximately two orders of magnitude higher than that of conventional methods. Here, we performed low-dose atomic-resolution OBF STEM observations of two types of zeolite, effectively visualizing all atomic sites in their frameworks. In addition, we visualized the complex local atomic structure of the twin boundaries in a faujasite (FAU)–type zeolite and Na <sup>+</sup> ions with low occupancy in eight-membered rings in a Na-Linde Type A (LTA) zeolite. The results of this study facilitate the characterization of local atomic structures in many electron beam–sensitive materials.",null,"American Association for the Advancement of Science (AAAS)",2023-08-04,"Science Advances","Science Advances",9,31,adf6865,null,eng,true,null,scientific_journal,null,null,10.1126/sciadv.adf6865,null,2375-2548,http://dx.doi.org/10.1126/sciadv.adf6865,null,false,disclosed
insert,merge,null,41864534,null,"Real-space observation of a two-dimensional electron gas at semiconductor heterointerfaces",null,"[Satoko Toyama,Takehito Seki,Yuya Kanitani,Yoshihiro Kudo,Shigetaka Tomiya,Yuichi Ikuhara,Naoya Shibata]",[corresponding],null,null,null,"Springer Science and Business Media LLC",2023-03-20,null,"Nature Nanotechnology",18,5,521,528,null,null,null,scientific_journal,null,null,10.1038/s41565-023-01349-8,1748-3387,1748-3395,https://www.nature.com/articles/s41565-023-01349-8.pdf,https://www.nature.com/articles/s41565-023-01349-8,false,disclosed
insert,merge,null,39293828,null,"Linear imaging theory for differential phase contrast and other phase imaging modes in scanning transmission electron microscopy",null,"[Takehito Seki,Kushagra Khare,Yoshiki O. Murakami,Satoko Toyama,Gabriel Sánchez-Santolino,Hirokazu Sasaki,Scott D. Findlay,Timothy C. Petersen,Yuichi Ikuhara,Naoya Shibata]","[lead,corresponding]",null,null,null,"Elsevier BV",2022-10,null,Ultramicroscopy,240,null,113580,113580,null,true,null,scientific_journal,true,true,10.1016/j.ultramic.2022.113580,0304-3991,null,null,null,false,disclosed
insert,merge,null,37201422,"Quantitative electric field mapping in semiconductor heterostructures via tilt-scan averaged DPC STEM","Quantitative electric field mapping in semiconductor heterostructures via tilt-scan averaged DPC STEM","[Satoko Toyama,Takehito Seki,Yuya Kanitani,Yoshihiro Kudo,Shigetaka Tomiya,Yuichi Ikuhara,Naoya Shibata]","[Satoko Toyama,Takehito Seki,Yuya Kanitani,Yoshihiro Kudo,Shigetaka Tomiya,Yuichi Ikuhara,Naoya Shibata]",[corresponding],null,"Differential phase contrast (DPC) in scanning transmission electron microscopy can be used to visualize electric field distributions within specimens in real space. However, for electric field mapping in crystalline specimens, the concomitant diffraction contrast is seriously problematic. In particular, for heterostructures with large lattice distortions, such as GaN-based semiconductor devices, the diffraction contrast cannot be reduced using conventional methods such as DPC image acquisition under off-axis conditions. In the present study, the electric field imaging of heterostructures is shown to suppress the diffraction contrast by averaging multiple DPC signals, obtained under various beam-tilt conditions near the zone axis. The remaining diffraction contrast was quantitatively estimated through simulations. This technique was demonstrated to enable the quantitative evaluation of electric field distributions across GaN/AlGaN multi-heterostructures, with errors possibly attributed to the residual diffraction contrast.",null,"Elsevier BV",2022-08,Ultramicroscopy,Ultramicroscopy,238,null,113538,113538,eng,true,null,scientific_journal,true,null,10.1016/j.ultramic.2022.113538,0304-3991,null,https://www.sciencedirect.com/science/article/pii/S0304399122000705?via%3Dihub,null,false,disclosed
insert,merge,null,36200328,"Factors limiting quantitative phase retrieval in atomic-resolution differential phase contrast scanning transmission electron microscopy using a segmented detector","Factors limiting quantitative phase retrieval in atomic-resolution differential phase contrast scanning transmission electron microscopy using a segmented detector","[T. Mawson,D.J. Taplin,H.G. Brown,L. Clark,R. Ishikawa,T. Seki,Y. Ikuhara,N. Shibata,D.M. Paganin,M.J. Morgan,M. Weyland,T.C. Petersen,S.D. Findlay]","[T. Mawson,D.J. Taplin,H.G. Brown,L. Clark,R. Ishikawa,T. Seki,Y. Ikuhara,N. Shibata,D.M. Paganin,M.J. Morgan,M. Weyland,T.C. Petersen,S.D. Findlay]",null,null,null,null,"Elsevier BV",2022-03,Ultramicroscopy,Ultramicroscopy,233,null,113457,113457,null,true,null,scientific_journal,null,null,10.1016/j.ultramic.2021.113457,0304-3991,null,null,null,false,disclosed
insert,merge,null,36348146,null,"Real-space visualization of intrinsic magnetic fields of an antiferromagnet",null,"[Yuji Kohno,Takehito Seki,Scott D. Findlay,Yuichi Ikuhara,Naoya Shibata]",null,null,"This work was supported by the JST SENTAN grant number JPMJSN14A1, Japan. A part of this work was supported by the JSPS KAKENHI grant numbers 20H05659, 19H05788 and 17H06094. A part of this work was supported by the Research Hub for Advanced Nano Characterization, The University of Tokyo, under the support of ‘Nanotechnology Platform’ by MEXT, Japan (grant number JPMXP09A21UT0259). We also thank the Corporate Sponsored Research Program ‘Next generation electron microscopy’, School of Engineering, The University of Tokyo. T.S. acknowledges support from JST-PRESTO (JPMJPR21AA), JSPS KAKENHI grant number 20K15014, and the Kazato Research Foundation. This research was partly supported under the Discovery Projects funding scheme of the Australian Research Council (project numbers DP160102338 and FT190100619).",null,"Springer Science and Business Media {LLC}",2022-02-10,null,Nature,602,7896,234,239,eng,true,null,scientific_journal,null,true,10.1038/s41586-021-04254-z,"[0028-0836,1476-4687]",1476-4687,https://www.nature.com/articles/s41586-021-04254-z.pdf,https://www.nature.com/articles/s41586-021-04254-z,false,disclosed
insert,merge,null,36177187,null,"Experimental Observation of Long-Range Magnetic Order in Icosahedral Quasicrystals",null,"[Ryuji Tamura,Asuka Ishikawa,Shintaro Suzuki,Takahiro Kotajima,Yujiro Tanaka,Takehito Seki,Naoya Shibata,Tsunetomo Yamada,Takenori Fujii,Chin-Wei Wang,Maxim Avdeev,Kazuhiro Nawa,Daisuke Okuyama,Taku J. Sato]",null,null,null,null,"American Chemical Society ({ACS})",2021-12-01,null,"Journal of the American Chemical Society",143,47,19938,19944,eng,true,null,scientific_journal,null,true,10.1021/jacs.1c09954,"[0002-7863,1520-5126]",1520-5126,https://pubs.acs.org/doi/pdf/10.1021/jacs.1c09954,null,false,disclosed
insert,merge,null,31964974,"Nanometre imaging of Fe3GeTe2 ferromagnetic domain walls","Nanometre imaging of Fe3GeTe2 ferromagnetic domain walls","[David G Hopkinson,Takehito Seki,Nicholas Clark,Runze Chen,Yichao Zou,Ayumi Kimura,Roman V Gorbachev,Thomas Thomson,Naoya Shibata,Sarah J Haigh]","[David G Hopkinson,Takehito Seki,Nicholas Clark,Runze Chen,Yichao Zou,Ayumi Kimura,Roman V Gorbachev,Thomas Thomson,Naoya Shibata,Sarah J Haigh]",null,null,null,"IOP Publishing","IOP Publishing",2021-05-14,Nanotechnology,Nanotechnology,32,20,205703,205703,eng,true,null,scientific_journal,null,true,10.1088/1361-6528/abe32b,0957-4484,1361-6528,https://iopscience.iop.org/article/10.1088/1361-6528/abe32b,https://iopscience.iop.org/article/10.1088/1361-6528/abe32b/pdf,false,disclosed
insert,merge,null,31572271,null,"Toward quantitative electromagnetic field imaging by differential-phase-contrast scanning transmission electron microscopy",null,"[Takehito Seki,Yuichi Ikuhara,Naoya Shibata]","[lead,corresponding]",null,"<title>Abstract</title>
 Differential-phase-contrast scanning transmission electron microscopy (DPC STEM) is a technique to directly visualize local electromagnetic field distribution inside materials and devices at very high spatial resolution. Owing to the recent progress in the development of high-speed segmented and pixelated detectors, DPC STEM now constitutes one of the major imaging modes in modern aberration-corrected STEM. While qualitative imaging of electromagnetic fields by DPC STEM is readily possible, quantitative imaging by DPC STEM is still under development because of the several fundamental issues inherent in the technique. In this report, we review the current status and future prospects of DPC STEM for quantitative electromagnetic field imaging from atomic scale to mesoscopic scale.",null,"Oxford University Press ({OUP})",2021-02-01,null,Microscopy,70,1,148,160,null,true,true,scientific_journal,null,null,10.1093/jmicro/dfaa065,2050-5698,2050-5701,http://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfaa065/34446900/dfaa065.pdf,http://academic.oup.com/jmicro/article-pdf/70/1/148/36194532/dfaa065.pdf,false,disclosed
insert,merge,null,30974366,"Ultra-high contrast STEM imaging for segmented/pixelated detectors by maximizing the signal-to-noise ratio","Ultra-high contrast STEM imaging for segmented/pixelated detectors by maximizing the signal-to-noise ratio","[Kousuke Ooe,Takehito Seki,Yuichi Ikuhara,Naoya Shibata]","[Kousuke Ooe,Takehito Seki,Yuichi Ikuhara,Naoya Shibata]",[corresponding],null,null,null,"Elsevier BV",2021-01,Ultramicroscopy,Ultramicroscopy,220,null,113133,113133,null,true,null,scientific_journal,null,null,10.1016/j.ultramic.2020.113133,0304-3991,null,null,null,false,disclosed
insert,merge,null,30974368,"Oxygen-Induced Reversible Sn-Dopant Deactivation between Indium Tin Oxide and Single-Crystalline Oxide Nanowire Leading to Interfacial Switching","Oxygen-Induced Reversible Sn-Dopant Deactivation between Indium Tin Oxide and Single-Crystalline Oxide Nanowire Leading to Interfacial Switching","[Hao Zeng,Tsunaki Takahashi,Takehito Seki,Masaki Kanai,Guozhu Zhang,Takuro Hosomi,Kazuki Nagashima,Naoya Shibata,Takeshi Yanagida]","[Hao Zeng,Tsunaki Takahashi,Takehito Seki,Masaki Kanai,Guozhu Zhang,Takuro Hosomi,Kazuki Nagashima,Naoya Shibata,Takeshi Yanagida]",null,null,null,null,"American Chemical Society (ACS)",2020-11-25,"ACS Applied Materials & Interfaces","ACS Applied Materials & Interfaces",12,47,52929,52936,null,true,null,scientific_journal,null,null,10.1021/acsami.0c16108,1944-8244,1944-8252,https://pubs.acs.org/doi/pdf/10.1021/acsami.0c16108,null,false,disclosed
insert,merge,null,30749543,"Magnetic-structure imaging in polycrystalline materials by specimen-tilt series averaged DPC STEM","Magnetic-structure imaging in polycrystalline materials by specimen-tilt series averaged DPC STEM","[Yoshiki O Murakami,Takehito Seki,Akihito Kinoshita,Tetsuya Shoji,Yuichi Ikuhara,Naoya Shibata]","[Yoshiki O Murakami,Takehito Seki,Akihito Kinoshita,Tetsuya Shoji,Yuichi Ikuhara,Naoya Shibata]",null,null,"<title>Abstract</title>
 Differential phase contrast (DPC) imaging in scanning transmission electron microscopy is a technique to visualize electromagnetic field distribution inside specimens at high spatial resolution. However, diffraction contrast strongly hampers electromagnetic contrast in DPC images especially in polycrystalline samples. In this paper, we develop an imaging technique to effectively suppress diffraction contrast in DPC images. It is shown that a magnetic structure in a Nd–Fe–B permanent magnet was clearly visualized by averaging 64 DPC images with various specimen-tilt conditions. This is because the diffraction contrast in DPC images sensitively and randomly varies with crystal orientation and thus almost vanishes by averaging specimen-tilt image series. We further investigated two types of residual diffraction contrast in the tilt-series averaged DPC images: weak contrast inside grains and strong contrast at grain boundaries. We found that the former can be suppressed by averaging more DPC images, whereas the latter can be suppressed by the tilt-series averaging with wider range of specimen tilt. The tilt-series averaging method enables DPC to visualize electromagnetic structures even inside polycrystalline materials.",null,"Oxford University Press (OUP)",2020-10-30,Microscopy,Microscopy,69,5,312,320,null,true,false,scientific_journal,null,null,10.1093/jmicro/dfaa029,null,2050-5701,http://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfaa029/33391212/dfaa029.pdf,http://academic.oup.com/jmicro/article-pdf/69/5/312/34082859/dfaa029.pdf,false,disclosed
