research_projects
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),担当研究者(日本語),担当研究者(英語),提供機関(日本語),提供機関(英語),制度名(日本語),制度名(英語),研究種目(日本語),研究種目(英語),研究機関名(日本語),研究機関名(英語),研究期間(From),研究期間(To),担当区分,配分額(総額),配分額(直接経費),配分額(間接経費),研究概要(日本語),研究概要(英語),資金種別,国際共同研究,課題番号,URL,主要な業績かどうか,公開の有無
insert,merge,null,49148244,走査透過電子顕微鏡による原子分解能熱振動イメージング法の開発と応用,null,"[関 岳人]",null,日本学術振興会,null,科学研究費助成事業,null,基盤研究(B),null,東京大学,null,2024-04,2029-03,principal_investigator,18720000,14400000,4320000,null,null,null,null,24K01294,null,false,disclosed
insert,merge,null,51052184,材料・デバイス界面空間電荷層直接観察手法の開発と応用,null,"[柴田 直哉,関 岳人,遠山 慧子]",null,日本学術振興会,null,科学研究費助成事業,null,基盤研究(A),null,東京大学,null,2025-04,2028-03,coinvestigator,61360000,47200000,14160000,null,null,null,null,25H00793,null,false,disclosed
insert,merge,null,50722484,革新的電子顕微鏡法の開発と材料研究への応用,"Development of Innovative Electron Microscopy Methods and Their Application to Materials Research",null,null,科学技術振興機構,"Japan Science and Technology Agency",創発的研究支援事業,FOREST,null,null,null,null,2026-04,null,principal_investigator,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,33276922,超低電子ドーズSTEM法の開発と実空間原子・分子配列構造解析,"Development of Ultra-Low Electron Dose STEM and Real-Space Real-Space Structural Analysis of Atomic and Molecular Arrangements","[関 岳人]",null,科学技術振興機構,"Japan Science and Technology Agency",さきがけ,PRESTO,null,null,null,null,2021-10,2026-03,principal_investigator,null,null,null,null,null,null,null,JPMJPR21AA,null,false,disclosed
insert,merge,null,31971323,原子スケール局所磁場直接観察手法の開発と磁性材料界面研究への応用,"Development of atomic-resolution magnetic field imaging electron microscopy and its application to interface characterization in magnetic materials","[柴田 直哉,関 岳人]",null,日本学術振興会,"Japan Society for the Promotion of Science",科学研究費助成事業,"Grants-in-Aid for Scientific Research",基盤研究(S),"Grant-in-Aid for Scientific Research (S)",東京大学,"The University of Tokyo",2020-08,2025-03,coinvestigator,192790000,148300000,44490000,"本年度は、昨年度開発した局所磁場の影響を考慮した原子分解能DPC STEM理論計算手法、原子レベルの電場・磁場の分離を行うための画像フィルタリング手法、超高感度DPC STEM観察のための画像積算・統計解析手法等を駆使して、室温で反強磁性体であるヘマタイト結晶内部のFe原子の原子磁場観察に挑戦した。その結果、(0001)Fe原子層における反強磁性構造に対応する互い違いに変化する原子磁場を実験的に実空間観察することに成功した。更に、ヘマタイト結晶を液体窒素冷却ホルダーで冷却した状態において同様の原子分解能磁場観察に挑戦し、約260K以下において発現するモーリン転移に伴う磁場方向の変化を実空間観察することにも成功した。これらの実験結果と局所磁場の影響を考慮した像シミュレーション結果とを定量的に比較し、極めて良い一致を示すことを明らかにした。これら一連の成果を英国科学誌Natureに報告し、国内外において極めて高い評価を得た。また、アウトリーチ活動のためこれらの成果をプレスリリースした結果、10以上の新聞やネット記事で報道された。また、NdFeB磁石における高分解能無磁場DPC STEM磁区構造観察を行い、結晶粒内における磁壁幅が局所的な組成変化と強い相関性を示すことを見出した。また、磁気スキルミオンと表面欠陥との強い相互作用を明らかにし、それを用いてスキルミオンの核生成や構造、配列を自在に制御できることを実験的に示した。更に、TEM結像側に高次収差補正装置を新規導入し、対物レンズの収差を補正するとともに、最適なTEM光学系構築を目指した光軸調整等の開発を進めた。",null,null,null,20H05659,null,false,disclosed
insert,merge,null,31971325,界面機能コア解析,"Nanoscale Interface Characterization","[柴田 直哉,山本 剛久,石川 亮,馮 斌,栃木 栄太,関 岳人]",null,日本学術振興会,"Japan Society for the Promotion of Science",科学研究費助成事業,"Grants-in-Aid for Scientific Research",新学術領域研究(研究領域提案型),"Grant-in-Aid for Scientific Research on Innovative Areas (Research in a proposed research area)",東京大学,"The University of Tokyo",2019-06,2024-03,coinvestigator,210210000,161700000,48510000,"本研究では, 最先端の原子分解能走査透過型電子顕微鏡法(STEM)を更に進化させ, 機能コアにおける局所原子構造のみならず, その局所構造により形成される局所電磁場を定量的に計測する手法を確立し, 機能コアの特性発現メカニズムを根本的に解明することを目的とする。本年度の主な研究成果を以下に列挙する。
①機能コア局所電磁場の直接定量計測手法の開発： 微分位相コントラスト(DPC)-STEMによる機能コア局所電磁場超高分解観察において, 局所的に乱れた原子構造由来の回折コントラストが電磁場信号と重畳する問題を解決するため, 回折コントラストの低減手法の開発を試みた. GaN/AlGaNヘテロ界面及びネオジウム磁石多結晶体を対象に, 従来のedge-on観察条件から試料と電子線入射方位をわずかに傾斜させた像を複数枚取得し, その平均像を形成した. その結果, ヘテロ界面近傍や結晶粒内の回折コントラストが大幅に減少することが明らかとなった. つまりDPC-STEM法を用いて機能コアの局所電磁場観察を行う際には, 的確に試料傾斜平均を行うことにより電磁場信号の抽出が可能であることが示された.
②原子スケール機能コア電子状態計測手法の開発：アルミナモデル粒界機能コアにおいて原子構造とバンド構造のSTEM-EELS分析を行った. 原子分解能STEM－EELSを低エネルギー損失領域において計測条件を最適化し, 粒界バンドギャップの直接定量計測に成功した. その結果, 粒界バンドギャップは粒界原子構造に強く依存し, その大小は粒界におけるアルミニウムイオンと酸素イオンの配位数に依存することが明らかとなった. これらの実験結果は理論計算の予測とも良い一致を示した. 本成果は粒界機能コアバンドギャップの粒界原子構造依存性を初めて実証した成果であり, 学術的に極めて重要であると考えられる.",null,null,null,19H05788,null,false,disclosed
insert,merge,null,53816754,超低電子ドーズSTEM法の開発と実空間原子・分子配列構造解析,"Development of Ultra-Low-Dose STEM for Real-Space Structural Analysis of Atomic and Molecular Arrangements","[関 岳人]",null,科学技術振興機構,"Japan Science and Technology Agency",戦略的な研究開発の推進/戦略的創造研究推進事業/さきがけ,null,null,null,null,null,2021,2024,principal_investigator,null,null,null,超低電子ドーズ条件で原子・分子配列を超高分解能で直接観察できる走査透過型電子顕微鏡法（STEM）を開発し、従来では観察が不可能であった電子線照射損傷を受けやすい材料の局所原子・分子配列の解析を可能にします。さらに開発した手法を自在配列材料へと応用します。機能発現の場となる原子・分子の局所配列構造を直接観察し、材料機能との相関性を解明することで、配列指針の構築を目指します。,null,null,null,21461854,null,false,disclosed
insert,merge,null,32339163,"風戸研究奨励会 高速分割型 STEM 検出器による超高感度原子結像法の開発と応用","Development and application of ultra-high sensitive atomic-resolution imaging using a high-speed segmented STEM detector","[関 岳人]",null,風戸研究奨励会,"Kazato Research Foundation",風戸研究奨励賞,"Kazato Research Encouragement Prize",null,null,null,null,2021-04,2023-03,principal_investigator,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,31971324,超低ドーズ原子直視型STEM法の開発と無機・有機材料原子構造解析,"Development of low-dose atomic resolution STEM imaging method","[柴田 直哉,関 岳人]",null,日本学術振興会,"Japan Society for the Promotion of Science",科学研究費助成事業,"Grants-in-Aid for Scientific Research",基盤研究(A),"Grant-in-Aid for Scientific Research (A)",東京大学,"The University of Tokyo",2020-04,2023-03,null,44590000,34300000,10290000,"本年度は以下の成果を得た。
本年度は、既存の16分割型検出器を用いて, 位相コントラスト伝達関数のS/N比を最大化するような各セグメント像の重み付け演算手法を検討し、低ドーズでも極めて高いコントラストで原子分解能像が得られる新たなSTEM手法（OBF法）の開発に成功した。また、この手法を実際の実験に応用し、Li系正極材料中のLi原子を他の明視野STEM法に比べて高いS/Nで結像できることを実証した。また、上述のOBF法を他のSTEM位相イメージング法（BF, ABF, DPC, タイコグラフィーなど）とPCTFを用いて定量的に相対比較し、広い空間周波数に渡ってOBF法が少ない電子数でも高コントラストに観察できる優位性を有することを実証した。更にOBF法を実時間観察に用いるためのアルゴリズムを開発し、実際の実験ソフトウエアに実装して検証を行った。",null,null,null,20H00301,null,false,disclosed
insert,merge,null,31971322,走査透過型電子顕微鏡による局所領域における化学結合電子の可視化手法の開発,null,"[関 岳人]",null,日本学術振興会,null,"科学研究費助成事業 若手研究",null,若手研究,null,東京大学,null,2020-04,2023-03,principal_investigator,4290000,3300000,990000,"本研究では、走査透過電子顕微鏡（STEM）の一手法である微分位相コントラスト（DPC）法を用いて原子スケールの電場を可視化し、局所領域の化学結合情報を抽出することを目的としている。電子が試料中を透過する際には複数回散乱が起きるために、原子分解能で取得したDPC STEM像から原子スケールの電場を直接的に定量することは難しい。本研究では、昨年度までにDPC STEM像における多重散乱の効果を、STEM像のシミュレーションにより推定・除去することで、本来の電場像を再構成するアルゴリズムを開発し、DPC計算像をテストデータとして試料厚み10 nm程度までの条件での有効性を確認した。本年度は、SrTiO3試料をモデル試料として、実験データに対するアルゴリズムの有効性を検討した。実験データにはノイズが存在するため、本手法が再構成する電場像にもノイズが大きく影響したものの、化学結合に関与する低い空間周波数の成分については再現性のある再構成が可能であることがわかった。実験より得られた再構成結果を、いくつかの理論モデルと比較した。理論モデルとして、孤立原子モデル（中性原子、イオン原子）、密度汎関数法による第一原理計算結果、を採用し比較したところ、第一原理計算の結果と最もよく一致した。このため、本手法は定量的な電場像再構成に成功し、イオン結合の抽出に成功したと考えられる。この結果はSrTiO3試料の平均構造を捉えた結果であるが、界面などの局所領域でも同様の解析が可能となると期待される。",null,null,null,20K15014,null,false,disclosed
